coin1,coin2,score,p-value
lido-dao,optimism,-3.231084266108598,0.06488148937741892
solana,cardano,-3.496973285888583,0.032664644676180556
uniswap,minswap,-3.6260661501362224,0.022739414701826263
solana,stellar,-3.3677874715097014,0.046056384487594575
